flight_number,origin,destination,flight_type
AA 6817,,,International
AA 6818,,,International
AA 6819,,,International
AA 6819,,,International
AA 6821,,,International
AA 6821,,,International
AA 6822,,,International
AA 6822,,,International
AA 6827,,,International
AA 6827,,,International
AA 6829,,,International
AA 6829,,,International
AA 6830,,,International
AA 6830,,,International
AA 6832,,,International
AA 6832,,,International
AA 6835,,,International
AA 6835,,,International
AA 6838,,,International
AA 6839,,,International
AA 6839,,,International
AA 6840,,,International
AA 6840,,,International
AA 6841,,,International
AA 6841,,,International
AA 6843,,,International
AA 6843,,,International
AA 6844,,,International
AA 6844,,,International
AA 6845,,,International
AA 6845,,,International
AA 6847,,,International
AA 6847,,,International
AA 6848,,,International
AA 6848,,,International
AA 6849,,,International
AA 6849,,,International
AA 6849,,,International
AA 6850,,,International
AA 6853,,,International
AA 6853,,,International
AA 6854,,,International
AA 6854,,,International
AA 6857,,,International
AA 6857,,,International
AA 6858,,,International
AA 6858,,,International
AA 6860,,,International
AA 6860,,,International
AA 6863,,,International
AA 6863,,,International
AA 6865,,,International
AA 6865,,,International
AA 6866,,,International
AA 6866,,,International
AA 6867,,,International
AA 6867,,,International
AA 6870,,,International
AA 6870,,,International
AA 6871,,,International
AA 6871,,,International
AA 6872,,,International
AA 6876,,,International
AA 6876,,,International
AA 6877,,,International
AA 6877,,,International
AA 6878,,,International
AA 6878,,,International
AA 6879,,,International
AA 6879,,,International
AA 6885,,,International
AA 6888,,,International
AA 6892,,,International
AA 6892,,,International
AA 6893,,,International
AA 6893,,,International
AA 6894,,,International
AA 6894,,,International
AA 6896,,,International
AA 6896,,,International
AA 6897,,,International
AA 6897,,,International
AA 6899,,,International
AA 6899,,,International
AA 6902,,,International
AA 6902,,,International
AA 6905,,,International
AA 6906,,,International
AA 6906,,,International
AA 6907,,,International
AA 6907,,,International
AA 6908,,,International
AA 6908,,,International
AA 6910,,,International
AA 6912,,,International
AA 6912,,,International
AA 6913,,,International
AA 6913,,,International
AA 6914,,,International
AA 6915,,,International
AA 6915,,,International
AA 6916,,,International
AA 6916,,,International
AA 6918,,,International
AA 6918,,,International
AA 6920,,,International
AA 6920,,,International
AA 6921,,,International
AA 6922,,,International
AA 6922,,,International
AA 6927,,,International
AA 6927,,,International
AA 6928,,,International
AA 6928,,,International
AA 6934,,,International
AA 6934,,,International
AA 6936,,,International
AA 6938,,,International
AA 6938,,,International
AA 6939,,,International
AA 6939,,,International
AA 6940,,,International
AA 6940,,,International
AA 6941,,,International
AA 6942,,,International
AA 6942,,,International
AA 6944,,,International
AA 6944,,,International
AA 6946,,,International
AA 6946,,,International
AA 6948,,,International
AA 6948,,,International
AA 6949,,,International
AA 6950,,,International
AA 6950,,,International
AA 6953,,,International
AA 6953,,,International
AA 6954,,,International
AA 6954,,,International
AA 6955,,,International
AA 6955,,,International
AA 6956,,,International
AA 6956,,,International
AA 6958,,,International
AA 6959,,,International
AA 6959,,,International
AA 6960,,,International
AA 6960,,,International
AA 6961,,,International
AA 6961,,,International
AA 6962,,,International
AA 6962,,,International
AA 6964,,,International
AA 6964,,,International
AA 6965,,,International
AA 6966,,,International
AA 6966,,,International
AA 6968,,,International
AA 6968,,,International
AA 6970,,,International
AA 6970,,,International
AA 6973,,,International
AA 6974,,,International
AA 6974,,,International
AA 6975,,,International
AA 6975,,,International
AA 6976,,,International
AA 6976,,,International
AA 6977,,,International
AA 6977,,,International
AA 6978,,,International
AA 6978,,,International
AA 6980,,,International
AA 6980,,,International
AA 6981,,,International
AA 6981,,,International
AA 6982,,,International
AA 6982,,,International
AA 6983,,,International
AA 6983,,,International
AA 6984,,,International
AA 6984,,,International
AA 6985,,,International
AA 6985,,,International
AA 6986,,,International
AA 6986,,,International
AA 6987,,,International
AA 6987,,,International
AA 6988,,,International
AA 6988,,,International
AA 6989,,,International
AA 6989,,,International
AA 6990,,,International
AA 6990,,,International
AA 6991,,,International
AA 6991,,,International
AA 6992,,,International
AA 6992,,,International
AA 6994,,,International
AA 6995,,,International
AA 6995,,,International
AA 6996,,,International
AA 6996,,,International
AA 6997,,,International
AA 6997,,,International
AA 6998,,,International
AA 6998,,,International
AA 6999,,,International
AA 6999,,,International
AA 7000,,,International
AA 7000,,,International
AA 7001,,,International
AA 7001,,,International
AA 7002,,,International
AA 7002,,,International
AA 7004,,,International
AA 7004,,,International
